,,Control,Test
clnt_age,count,23526.0,26961.0
clnt_age,mean,47.498427271954434,47.16392196135158
clnt_age,median,48.5,47.5
clnt_age,std,15.521781263580353,15.51446068159617
bal,count,23526.0,26961.0
bal,mean,150151.90018575193,148962.60503171248
bal,median,66031.45,65468.36
bal,std,295812.4055288429,307373.7137749861
clnt_tenure_mnth,count,23526.0,26961.0
clnt_tenure_mnth,mean,151.06210150471819,149.8528986313564
clnt_tenure_mnth,median,137.0,134.0
clnt_tenure_mnth,std,82.12766306280334,81.78338994423282
num_accts,count,23526.0,26961.0
num_accts,mean,2.259925189152427,2.2499165461221766
num_accts,median,2.0,2.0
num_accts,std,0.5385680809563368,0.5293346669383457
calls_6_mnth,count,23526.0,26961.0
calls_6_mnth,mean,3.1291762305534303,3.061941322651237
calls_6_mnth,median,3.0,3.0
calls_6_mnth,std,2.184540732492071,2.19059019111956
logons_6_mnth,count,23526.0,26961.0
logons_6_mnth,mean,6.16624160503273,6.101850821557064
logons_6_mnth,median,6.0,6.0
logons_6_mnth,std,2.173053299193479,2.177119330055169
