client_id,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation,session_per_client,max_step_client,completion_rate,avg_steps_client,error_rate,avg_time_to_completion
836976,73.0,60.5,U,2.0,45105.3,6.0,9.0,Test,2,4,False,5.5,True,
2304905,94.0,58.0,U,2.0,110860.3,6.0,9.0,Control,1,4,False,6.0,True,
1439522,64.0,32.0,U,2.0,52467.78999999999,6.0,9.0,Test,2,3,False,2.5,False,
1562045,198.0,49.0,M,2.0,67454.65,3.0,6.0,Test,1,0,False,1.0,False,
5126305,145.0,33.0,F,2.0,103671.75,0.0,3.0,Control,1,0,False,1.0,False,
3727881,71.0,30.5,U,2.0,23915.6,0.0,3.0,Control,1,4,False,7.0,True,
272934,66.0,58.5,U,2.0,27021.42,2.0,5.0,Control,1,4,True,5.0,False,236.0
388801,361.0,57.5,M,5.0,522498.72,1.0,4.0,Test,1,4,True,5.0,False,589.0
285619,369.0,67.5,M,2.0,299388.72,3.0,6.0,Control,1,4,False,9.0,True,
8198645,189.0,54.5,F,2.0,382303.83,6.0,9.0,Test,1,4,True,5.0,False,582.0
8368822,100.0,34.5,U,2.0,75578.54000000001,0.0,3.0,Control,1,4,True,5.0,False,119.0
2537139,99.0,51.5,U,2.0,135940.68,6.0,9.0,Control,1,4,True,5.0,False,192.0
2208717,67.0,33.0,U,2.0,29782.96,6.0,9.0,Test,1,4,False,7.0,True,
2214073,193.0,62.5,M,3.0,136818.03,6.0,9.0,Test,1,4,False,6.0,True,
2368987,71.0,54.5,U,2.0,44408.87,2.0,5.0,Control,1,4,False,8.0,True,
2892152,58.0,36.0,U,2.0,46815.48,5.0,8.0,Test,2,4,True,5.0,True,419.0
4536541,47.0,74.0,U,2.0,47804.5,1.0,4.0,Test,1,3,False,7.0,True,
3788589,122.0,32.5,M,2.0,30750.76,0.0,3.0,Control,1,4,True,5.0,False,657.0
719792,136.0,31.0,F,2.0,111736.78,5.0,8.0,Test,1,4,False,6.0,True,
5904035,101.0,25.5,U,2.0,27848.76,3.0,6.0,Test,1,4,False,6.0,True,
1502049,100.0,31.0,U,2.0,28952.15,0.0,3.0,Control,1,4,False,8.0,True,
6590646,103.0,42.5,F,3.0,2768726.87,5.0,8.0,Test,1,4,True,5.0,False,107.0
7585111,70.0,42.0,U,3.0,36621.41,1.0,4.0,Control,1,3,False,4.0,False,
3638336,152.0,30.5,M,3.0,54296.67,3.0,6.0,Test,1,4,True,5.0,False,172.0
9520009,160.0,30.0,M,2.0,61062.57,6.0,9.0,Control,1,0,False,1.0,False,
1508759,80.0,58.5,U,2.0,66514.85,4.0,7.0,Test,1,4,False,7.0,True,
